ST_LABEL,L_ZIP,R_ZIP
BROADWAY AL,10016,10016
E 105 ST,11236,11236
229 ST,11411,11411
PATH OF COMMERCE,11355,11355
CLOVE WY,10301,10301
15 AV,11356,11356
ALLEY,11204,11204
78 ST,11379,11379
25 AV,11357,11357
131 RD,11422,11422
RICHMOND TER,10302,10302
AV B,11236,11236
VAN DYKE ST,11231,11231
NEW JERSEY AV,11207,11207
LINDEN BLVD,11212,11212
AUTUMN AV,11208,11208
186 ST,11366,11366
GRANTWOOD AV,10312,10312
SOUTH BEACH GREENWAY,10305,10305
W 34 ST,10120,10001
36 AV,11106,11106
HAROLD ST,10314,10314
GELDNER AV,10306,10306
93 ST,11374,11374
W 44 ST,10036,10036
WESTCHESTER AV,10472,10472
E NEW YORK AV,11212,11212
BRICKTOWN WAY,10309,10309
E 179 ST,10457,10457
E 28 ST,11235,11235
LONG ISLAND EXPY,11378,11378
MANHATTAN BRIDGE BIKE PTH,,
PEDESTRIAN PATH,10009,10009
BERGEN ST,11216,11216
251 ST,11362,11362
E 219 ST,10467,10467
STRATFORD CT,10314,10314
WATCHOGUE RD,10314,10314
HORACE HARDING EXPY,11365,11365
202 ST,11360,11360
HOLDRIDGE AV,10312,10312
PEDESTRIAN PATH,11364,11364
N RAILROAD AV,10306,10306
TODT HILL HOUSES PEDESTRIAN PATH,10314,10314
J ST,10473,10473
ALLEY,11364,11364
AMSTERDAM AV,10031,10031
RENE DR,10306,10306
39 AV,11361,11361
ALLEY,10003,10003
UTOPIA PKWY,11357,11357
90 ST,11414,11414
W BRIGHTON AV,11224,11224
RANDALL AV,10465,10465
E 63 STREET PEDESTRIAN OPAS,10065,10065
W 12 ST,11223,11223
14 AV,11219,11219
HOWE AV,10473,10473
46 AV,11358,11358
MACDONOUGH PLACE,10465,10465
CRANBERRY CT,10309,10309
ROCKAWAY BLVD,11434,11434
119 AV,11411,11411
CABLE WY,10303,10303
3 AV,11232,11232
74 ST,11379,11379
E 212 ST,10467,10467
CLEARVIEW EXPWY ET 4 W SB,11427,11427
ARTHUR KILL RD,10309,10309
WILLIS AVE BRIDGE,10454,10454
3 AV,11217,11217
70 RD,11375,11375
SUNKEN GARDEN LP,10022,10022
UNION AV,11211,11211
E 161 ST,10451,10451
MAJOR DEEGAN EN NB,10452,10452
E 24 ST,10010,10010
E 144 ST,10454,10454
RENWICK AV,10301,10301
ROCHESTER AVE,11233,11233
BURLING ST,11355,11355
OCEAN PKWY,11230,11230
RYERSON ST,11205,11205
HOOVER AV,11435,11435
BOSTON RD,10460,10462
BRONX RIVER GREENWAY,10467,10467
RUNWAY DR,11371,11371
WHITE PLAINS RD,10462,10462
E 236 ST,10470,10470
COMPTON AV,10473,10473
UNION TP,11385,11385
WOODVALE AV,10309,10309
GUYON AV,10306,10306
DOUGLASTON PKWY,11362,11362
141 AV,11422,11422
HYLAN BLVD,10309,10309
FLEET PL,11201,11201
GORDON ST,10304,10304
110 AVE,11429,11429
RIVER AV,10451,10451
BABBAGE ST,11418,11418
LEXINGTON AV,11221,11221
64 ST,11385,11385
AUTUMN AV,11208,11208
CATON AV,11218,11218
56 AV,11364,11364
STATE ST,11201,11201
12 AVE,10019,10019
73 AV,11364,11364
MARTENSE AV,11368,11368
KINGS HWY,11212,11212
EDGERTON BLVD,11432,11432
87 AVE PEDESTRIAN OPAS,11435,11435
PERRY AV,10467,10467
99 AVE,11423,11423
97 AV,11416,11416
LINDEN BLVD,11436,11436
E 241 ST,10470,10470
WOODHAVEN BLVD,11385,11385
194 ST,11412,11412
88 AV,11421,11421
RANDALL AV,10465,10465
E 13 ST,11229,11229
44 ST,11377,11377
CBE SB EN WASHINGTON BRIDGE,10033,10033
BIKE PATH,10474,10474
FLATBUSH AV,11225,11225
ALLEN AV,11229,11229
DELMORE ST,10314,10314
ALSTYNE AV,11368,11368
OAK AV,11358,11358
20 ST,11218,11218
WALTON AV,10452,10452
POUGHKEEPSIE CT,10312,10312
QUEENS MIDTOWN EXPY,11373,11373
BRUCKNER BLVD,10473,10473
THOMSON AV,11101,11101
GLENMORE AVE,11207,11212
W 256 ST,10471,10471
MULBERRY ST,10012,10012
E READING AV,10308,10308
W 147 ST,10039,10039
FRANCIS LEWIS BLVD,11357,11357
33 RD,11106,11106
AUSTELL PL,11101,11101
37 ST,11103,11103
VICTORY BLVD,10314,10314
