,amount,borough_name,hood_name,total_crime,Latitude,Longitude,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
162,894334.0,QUEENS,Auburndale,10,40.761729549032665,-73.79176243728068,31.45,30.766666666666666,27.13333333333333
163,896975.0,QUEENS,Bay Terrace,6,40.782842806245604,-73.77680222621588,31.566666666666666,47.68333333333333,23.6
164,975283.0,QUEENS,Bayside,22,40.76604063281068,-73.77427363068676,30.43333333333333,36.36666666666667,24.4
165,1026172.5,QUEENS,Beechhurst,5,40.79278140360052,-73.80436451720995,28.83333333333333,89.21666666666668,22.466666666666665
166,680868.5,QUEENS,Bellaire,20,40.733014040278384,-73.73889198912487,32.48333333333333,57.45,17.916666666666668
167,870570.0,QUEENS,Belle Harbor,2,40.57615556543113,-73.85401750392529,50.75,101.43333333333334,24.45
168,626697.0,QUEENS,Bellerose,13,40.72857318176679,-73.7201281482691,32.63333333333333,70.71666666666667,17.483333333333334
169,1158119.0,QUEENS,Blissville,13,40.737250716945006,-73.93244235260184,14.133333333333333,27.11666666666667,31.63333333333333
170,712692.0,QUEENS,Briarwood,39,40.710935472522756,-73.81174822458641,29.68333333333333,50.63333333333333,15.816666666666665
171,424867.0,QUEENS,Broad Channel,2,40.60302658351242,-73.82005489110327,46.71666666666667,75.98333333333333,20.416666666666668
172,532168.0,QUEENS,Brookville,7,40.660003227336155,-73.75175310731159,39.9,55.65,12.95
173,499317.5,QUEENS,Cambria Heights,15,40.69277463916089,-73.73526873708033,37.25,78.61666666666666,13.7
174,853173.0,QUEENS,College Point,20,40.78490274926025,-73.84304528896132,32.4,71.83333333333333,26.05
175,1023615.0,QUEENS,Douglaston,2,40.76684609790768,-73.74249820727339,32.38333333333333,41.56666666666667,22.216666666666665
176,820455.0,QUEENS,Downtown Flushing,72,40.761163620818756,-73.82936758711861,27.83333333333333,34.73333333333333,21.48333333333333
177,934862.5,QUEENS,East Elmhurst,36,40.76407323883095,-73.8670414765878,26.1,62.11666666666667,20.716666666666665
178,555755.5,QUEENS,Edgemere,12,40.595641807368544,-73.77613282391712,56.01666666666666,77.58333333333333,31.25
179,1071081.5,QUEENS,Elmhurst,66,40.74404850512207,-73.88165622288395,23.61666666666667,29.83333333333333,27.16666666666667
180,619949.0,QUEENS,Far Rockaway,60,40.60313443250093,-73.7549796804388,52.08333333333334,81.88333333333334,27.3
181,653057.0,QUEENS,Floral Park,6,40.74137842194548,-73.70884705889253,33.31666666666667,69.05,19.516666666666666
182,1429265.0,QUEENS,Forest Hills,23,40.725263782165065,-73.84447500788991,25.38333333333333,41.46666666666667,16.683333333333334
183,1167773.0,QUEENS,Forest Hills Gardens,5,40.71461108151174,-73.84102211234017,30.05,47.08333333333334,19.1
184,994190.0,QUEENS,Fresh Meadows,13,40.73439446533133,-73.7827133700327,31.466666666666665,61.21666666666667,24.61666666666667
185,675657.0,QUEENS,Glen Oaks,12,40.74944079974336,-73.71548118999151,33.083333333333336,71.38333333333334,19.966666666666665
186,760373.5,QUEENS,Glendale,20,40.702762429678415,-73.87074167435614,30.5,71.15,21.91666666666667
187,861669.0,QUEENS,Hillcrest,6,40.72382490182924,-73.7976030091268,30.0,49.53333333333333,19.25
188,555294.0,QUEENS,Hollis,25,40.71124344191908,-73.75925009335602,35.1,64.38333333333334,21.766666666666666
189,969171.0,QUEENS,Holliswood,12,40.72095720764445,-73.76714166714736,30.38333333333333,61.56666666666667,20.983333333333334
190,740014.5,QUEENS,Howard Beach,14,40.654225277384896,-73.83813764600289,40.28333333333333,83.66666666666667,13.983333333333333
191,1250152.0,QUEENS,Hunters Point,20,40.74341409007358,-73.95386782130754,15.3,25.13333333333333,26.08333333333333
192,941528.0,QUEENS,Jackson Heights,74,40.75198138007372,-73.88282109164372,24.65,30.216666666666665,26.18333333333333
193,635173.0,QUEENS,Jamaica Center,55,40.704657360687214,-73.79690165888294,33.75,38.7,18.08333333333333
194,909148.5,QUEENS,Jamaica Estates,12,40.71680483014617,-73.78722696936667,29.3,53.6,20.733333333333334
195,924499.0,QUEENS,Jamaica Hills,15,40.711459643704856,-73.796464620816,30.85,48.55,19.6
196,1133736.0,QUEENS,Kew Gardens,16,40.70517903541485,-73.82981905825709,29.8,55.31666666666667,17.283333333333335
197,844107.5,QUEENS,Kew Gardens Hills,12,40.722578244228075,-73.82087764933574,27.15,49.51666666666666,16.933333333333334
198,491495.0,QUEENS,Laurelton,21,40.66788389660249,-73.7402560798983,38.21666666666667,52.55,11.266666666666667
199,949564.0,QUEENS,Lefrak City,50,40.736074570830844,-73.86252471413745,25.41666666666667,40.6,20.383333333333333
200,682264.0,QUEENS,Lindenwood,12,40.66391841925143,-73.84963782402448,38.75,83.46666666666667,12.45
201,1326193.0,QUEENS,Long Island City,30,40.750217346105316,-73.93920223915512,19.1,17.166666666666668,30.03333333333333
202,1110734.0,QUEENS,Malba,7,40.79060155670153,-73.8266775713865,28.4,63.5,22.05
203,833202.5,QUEENS,Maspeth,19,40.72542737409365,-73.89621713626867,18.58333333333333,44.65,21.35
